date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-04-04,AVB,102.43,False
2026-04-04,EQR,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AVB,102.62,False
2026-04-11,EQR,101.62,False
2026-04-11,UDR,98.61,False
2026-04-18,AVB,101.96,False
2026-04-18,EQR,102.35,False
2026-04-18,UDR,96.51,False
2026-04-25,AVB,101.21,False
2026-04-25,EQR,102.41,False
2026-04-25,UDR,101.13,False
2026-05-02,AVB,102.69,False
2026-05-02,EQR,101.81,False
2026-05-02,UDR,100.44,False
2026-05-09,AVB,99.89,False
2026-05-09,EQR,101.34,False
2026-05-09,UDR,100.56,False
2026-05-16,AVB,99.97,False
2026-05-16,EQR,101.29,False
2026-05-16,UDR,99.77,False
2026-05-23,AVB,99.25,False
2026-05-23,EQR,101.51,False
2026-05-23,UDR,100.75,False
2026-05-30,AVB,97.73,False
2026-05-30,EQR,100.88,False
2026-05-30,UDR,99.22,False
2026-06-06,AVB,97.76,False
2026-06-06,EQR,100.23,False
2026-06-06,UDR,96.92,False
2026-06-13,AVB,98.67,False
2026-06-13,EQR,99.55,False
2026-06-13,UDR,97.91,False
2026-06-20,AVB,97.62,False
2026-06-20,EQR,99.74,False
2026-06-20,UDR,95.73,False
2026-06-27,AVB,96.86,True
2026-06-27,EQR,99.33,True
2026-06-27,UDR,95.7625,True
2026-07-04,AVB,96.1,True
2026-07-04,EQR,98.92,True
2026-07-04,UDR,95.795,True
2026-07-11,AVB,95.34,True
2026-07-11,EQR,98.51,True
2026-07-11,UDR,95.8275,True
2026-07-18,AVB,94.58,False
2026-07-18,EQR,98.1,False
2026-07-18,UDR,95.86,False
2026-07-25,AVB,94.595,True
2026-07-25,EQR,97.42,True
2026-07-25,UDR,95.195,True
2026-08-01,AVB,94.61,False
2026-08-01,EQR,96.74,False
2026-08-01,UDR,94.53,False
2026-08-08,AVB,92.83,False
2026-08-08,EQR,95.67,False
2026-08-08,UDR,94.31,False
2026-08-15,AVB,92.41,False
2026-08-15,EQR,95.09,False
2026-08-15,UDR,93.01,False
2026-08-22,AVB,92.32,False
2026-08-22,EQR,94.69,False
2026-08-22,UDR,90.74,False
2026-08-29,AVB,93.03,False
2026-08-29,EQR,94.26,False
2026-08-29,UDR,90.71,False
2026-09-05,AVB,91.42,False
2026-09-05,EQR,93.15,False
2026-09-05,UDR,90.38,False
