date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AVB,102.24,False
2026-04-04,CPT,98.95,False
2026-04-04,EQR,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AVB,102.8,False
2026-04-11,CPT,97.22,False
2026-04-11,EQR,99.89,False
2026-04-11,MAA,105.29,False
2026-04-11,UDR,99.93,False
2026-04-18,AVB,100.75,False
2026-04-18,CPT,97.47,False
2026-04-18,EQR,99.43,False
2026-04-18,MAA,102.18,False
2026-04-18,UDR,98.72,False
2026-04-25,AVB,100.07,False
2026-04-25,CPT,98.14,False
2026-04-25,EQR,99.16,False
2026-04-25,MAA,97.81,False
2026-04-25,UDR,98.35,False
2026-05-02,AVB,98.95,False
2026-05-02,CPT,98.71,False
2026-05-02,EQR,98.73,False
2026-05-02,MAA,98.84,False
2026-05-02,UDR,100.71,False
2026-05-09,AVB,98.31,False
2026-05-09,CPT,98.88,False
2026-05-09,EQR,98.63,False
2026-05-09,MAA,97.01,False
2026-05-09,UDR,100.37,False
2026-05-16,AVB,97.83,False
2026-05-16,CPT,99.1,False
2026-05-16,EQR,97.78,False
2026-05-16,MAA,97.04,False
2026-05-16,UDR,101.02,False
2026-05-23,AVB,97.12,False
2026-05-23,CPT,97.24,False
2026-05-23,EQR,95.73,False
2026-05-23,MAA,95.81,False
2026-05-23,UDR,99.71,False
2026-05-30,AVB,97.26,False
2026-05-30,CPT,97.81,False
2026-05-30,EQR,94.22,False
2026-05-30,MAA,94.7,False
2026-05-30,UDR,99.09,False
2026-06-06,AVB,97.04,False
2026-06-06,CPT,97.82,False
2026-06-06,EQR,93.93,False
2026-06-06,MAA,95.57,False
2026-06-06,UDR,99.17,False
2026-06-13,AVB,96.64,False
2026-06-13,CPT,97.03,False
2026-06-13,EQR,92.82,False
2026-06-13,MAA,95.18,False
2026-06-13,UDR,97.98,False
2026-06-20,AVB,95.45,False
2026-06-20,CPT,94.84,False
2026-06-20,EQR,92.64,False
2026-06-20,MAA,95.55,False
2026-06-20,UDR,98.26,False
2026-06-27,AVB,94.56,True
2026-06-27,CPT,95.3925,True
2026-06-27,EQR,92.5,True
2026-06-27,MAA,95.7075,True
2026-06-27,UDR,96.8175,True
2026-07-04,AVB,93.67,True
2026-07-04,CPT,95.945,True
2026-07-04,EQR,92.36,True
2026-07-04,MAA,95.865,True
2026-07-04,UDR,95.375,True
2026-07-11,AVB,92.78,True
2026-07-11,CPT,96.4975,True
2026-07-11,EQR,92.22,True
2026-07-11,MAA,96.0225,True
2026-07-11,UDR,93.9325,True
2026-07-18,AVB,91.89,False
2026-07-18,CPT,97.05,False
2026-07-18,EQR,92.08,False
2026-07-18,MAA,96.18,False
2026-07-18,UDR,92.49,False
2026-07-25,AVB,91.645,True
2026-07-25,CPT,96.955,True
2026-07-25,EQR,91.87,True
2026-07-25,MAA,95.815,True
2026-07-25,UDR,91.985,True
2026-08-01,AVB,91.4,False
2026-08-01,CPT,96.86,False
2026-08-01,EQR,91.66,False
2026-08-01,MAA,95.45,False
2026-08-01,UDR,91.48,False
2026-08-08,AVB,90.6,False
2026-08-08,CPT,96.72,False
2026-08-08,EQR,90.93,False
2026-08-08,MAA,92.24,False
2026-08-08,UDR,90.18,False
2026-08-15,AVB,87.65,False
2026-08-15,CPT,95.92,False
2026-08-15,EQR,91.06,False
2026-08-15,MAA,88.91,False
2026-08-15,UDR,88.74,False
2026-08-22,AVB,86.23,False
2026-08-22,CPT,95.38,False
2026-08-22,EQR,90.03,False
2026-08-22,MAA,87.54,False
2026-08-22,UDR,88.79,False
2026-08-29,AVB,86.04,False
2026-08-29,CPT,93.37,False
2026-08-29,EQR,88.97,False
2026-08-29,MAA,91.74,False
2026-08-29,UDR,88.45,False
2026-09-05,AVB,85.54,False
2026-09-05,CPT,92.91,False
2026-09-05,EQR,88.72,False
2026-09-05,MAA,91.45,False
2026-09-05,UDR,87.81,False
