date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-03-28,ESS,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.91,False
2026-04-04,CPT,99.67,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,99.72,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,99.27,False
2026-04-11,AMH,99.78,False
2026-04-11,AVB,99.87,False
2026-04-11,CPT,99.05,False
2026-04-11,EQR,99.77,False
2026-04-11,ESS,100.02,False
2026-04-11,INVH,100.52,False
2026-04-11,MAA,99.75,False
2026-04-11,UDR,98.78,False
2026-04-18,AMH,99.5,False
2026-04-18,AVB,99.61,False
2026-04-18,CPT,99.13,False
2026-04-18,EQR,99.71,False
2026-04-18,ESS,100.02,False
2026-04-18,INVH,99.83,False
2026-04-18,MAA,99.53,False
2026-04-18,UDR,98.26,False
2026-04-25,AMH,99.36,False
2026-04-25,AVB,99.65,False
2026-04-25,CPT,98.94,False
2026-04-25,EQR,99.51,False
2026-04-25,ESS,99.95,False
2026-04-25,INVH,99.84,False
2026-04-25,MAA,99.01,False
2026-04-25,UDR,97.83,False
2026-05-02,AMH,99.17,False
2026-05-02,AVB,99.41,False
2026-05-02,CPT,98.65,False
2026-05-02,EQR,99.2,False
2026-05-02,ESS,99.96,False
2026-05-02,INVH,100.2,False
2026-05-02,MAA,98.67,False
2026-05-02,UDR,97.8,False
2026-05-09,AMH,98.97,False
2026-05-09,AVB,99.28,False
2026-05-09,CPT,98.44,False
2026-05-09,EQR,98.72,False
2026-05-09,ESS,100.5,False
2026-05-09,INVH,99.44,False
2026-05-09,MAA,98.45,False
2026-05-09,UDR,97.66,False
2026-05-16,AMH,98.75,False
2026-05-16,AVB,98.77,False
2026-05-16,CPT,98.65,False
2026-05-16,EQR,98.67,False
2026-05-16,ESS,100.91,False
2026-05-16,INVH,99.61,False
2026-05-16,MAA,98.19,False
2026-05-16,UDR,97.59,False
2026-05-23,AMH,98.45,False
2026-05-23,AVB,98.26,False
2026-05-23,CPT,98.89,False
2026-05-23,EQR,98.58,False
2026-05-23,ESS,101.13,False
2026-05-23,INVH,100.01,False
2026-05-23,MAA,97.73,False
2026-05-23,UDR,97.33,False
2026-05-30,AMH,98.32,False
2026-05-30,AVB,98.02,False
2026-05-30,CPT,99.29,False
2026-05-30,EQR,98.29,False
2026-05-30,ESS,101.13,False
2026-05-30,INVH,99.85,True
2026-05-30,MAA,97.47,False
2026-05-30,UDR,97.21,False
2026-06-06,AMH,98.01,False
2026-06-06,AVB,97.84,False
2026-06-06,CPT,98.55,False
2026-06-06,EQR,98.05,False
2026-06-06,ESS,101.22,False
2026-06-06,INVH,99.69,False
2026-06-06,MAA,96.95,False
2026-06-06,UDR,97.2,False
2026-06-13,AMH,97.8,False
2026-06-13,AVB,97.66,False
2026-06-13,CPT,98.09,False
2026-06-13,EQR,97.42,False
2026-06-13,ESS,100.89,False
2026-06-13,INVH,99.6,False
2026-06-13,MAA,96.32,False
2026-06-13,UDR,96.98,False
2026-06-20,AMH,97.506,True
2026-06-20,AVB,97.42,False
2026-06-20,CPT,98.21,False
2026-06-20,EQR,97.44,False
2026-06-20,ESS,100.91,False
2026-06-20,INVH,99.214,True
2026-06-20,MAA,95.79,False
2026-06-20,UDR,96.75,False
2026-06-27,AMH,97.212,True
2026-06-27,AVB,96.8825,True
2026-06-27,CPT,98.1575,True
2026-06-27,EQR,97.3,True
2026-06-27,ESS,100.745,True
2026-06-27,INVH,98.828,True
2026-06-27,MAA,95.475,True
2026-06-27,UDR,96.25,True
2026-07-04,AMH,96.918,True
2026-07-04,AVB,96.345,True
2026-07-04,CPT,98.105,True
2026-07-04,EQR,97.16,True
2026-07-04,ESS,100.58,True
2026-07-04,INVH,98.442,True
2026-07-04,MAA,95.16,True
2026-07-04,UDR,95.75,True
2026-07-11,AMH,96.624,True
2026-07-11,AVB,95.8075,True
2026-07-11,CPT,98.0525,True
2026-07-11,EQR,97.02,True
2026-07-11,ESS,100.415,True
2026-07-11,INVH,98.056,True
2026-07-11,MAA,94.845,True
2026-07-11,UDR,95.25,True
2026-07-18,AMH,96.33,False
2026-07-18,AVB,95.27,False
2026-07-18,CPT,98.0,False
2026-07-18,EQR,96.88,False
2026-07-18,ESS,100.25,False
2026-07-18,INVH,97.67,False
2026-07-18,MAA,94.53,False
2026-07-18,UDR,94.75,False
2026-07-25,AMH,96.065,True
2026-07-25,AVB,94.725,True
2026-07-25,CPT,97.975,True
2026-07-25,EQR,96.665,True
2026-07-25,ESS,100.295,True
2026-07-25,INVH,97.29,True
2026-07-25,MAA,94.305,True
2026-07-25,UDR,94.03,True
2026-08-01,AMH,95.8,False
2026-08-01,AVB,94.18,False
2026-08-01,CPT,97.95,False
2026-08-01,EQR,96.45,False
2026-08-01,ESS,100.34,False
2026-08-01,INVH,96.91,True
2026-08-01,MAA,94.08,False
2026-08-01,UDR,93.31,False
2026-08-08,AMH,95.42,False
2026-08-08,AVB,93.75,False
2026-08-08,CPT,97.28,False
2026-08-08,EQR,96.04,False
2026-08-08,ESS,100.27,False
2026-08-08,INVH,96.53,False
2026-08-08,MAA,93.64,False
2026-08-08,UDR,92.59,False
2026-08-15,AMH,95.07,False
2026-08-15,AVB,93.08,False
2026-08-15,CPT,96.44,False
2026-08-15,EQR,95.65,False
2026-08-15,ESS,100.1,False
2026-08-15,INVH,95.9,False
2026-08-15,MAA,92.83,False
2026-08-15,UDR,91.68,False
2026-08-22,AMH,94.66,False
2026-08-22,AVB,92.59,False
2026-08-22,CPT,96.12,False
2026-08-22,EQR,95.09,False
2026-08-22,ESS,99.85,False
2026-08-22,INVH,95.29,False
2026-08-22,MAA,92.3,False
2026-08-22,UDR,91.03,False
2026-08-29,AMH,94.04,False
2026-08-29,AVB,91.92,False
2026-08-29,CPT,93.95,False
2026-08-29,EQR,94.48,False
2026-08-29,ESS,99.35,False
2026-08-29,INVH,93.86,False
2026-08-29,MAA,91.69,False
2026-08-29,UDR,90.46,False
2026-09-05,AMH,93.77,False
2026-09-05,AVB,91.31,False
2026-09-05,CPT,93.66,False
2026-09-05,EQR,94.08,False
2026-09-05,ESS,98.86,False
2026-09-05,INVH,93.46,False
2026-09-05,MAA,91.18,False
2026-09-05,UDR,89.84,False
2026-09-12,AMH,93.57,False
2026-09-12,AVB,90.72,False
2026-09-12,CPT,93.31,False
2026-09-12,ESS,98.52,False
2026-09-12,INVH,92.99,False
2026-09-12,MAA,90.99,False
2026-09-12,UDR,89.71,False
