date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,100.05,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,98.57,False
2026-04-11,AMH,99.75,False
2026-04-11,CPT,99.69,False
2026-04-11,INVH,100.28,False
2026-04-11,MAA,101.8,False
2026-04-11,UDR,97.58,False
2026-04-18,AMH,99.5,False
2026-04-18,CPT,99.8,False
2026-04-18,INVH,101.42,False
2026-04-18,MAA,101.75,False
2026-04-18,UDR,96.77,False
2026-04-25,AMH,99.3,False
2026-04-25,CPT,98.93,False
2026-04-25,INVH,100.37,False
2026-04-25,MAA,100.69,False
2026-04-25,UDR,96.17,False
2026-05-02,AMH,99.17,False
2026-05-02,CPT,98.72,False
2026-05-02,INVH,101.0,False
2026-05-02,MAA,100.26,False
2026-05-02,UDR,95.16,False
2026-05-09,AMH,98.9,False
2026-05-09,CPT,97.81,False
2026-05-09,INVH,100.3,False
2026-05-09,MAA,99.94,False
2026-05-09,UDR,94.47,False
2026-05-16,AMH,98.73,False
2026-05-16,CPT,97.66,False
2026-05-16,INVH,101.05,False
2026-05-16,MAA,100.21,False
2026-05-16,UDR,93.83,False
2026-05-23,AMH,98.65,False
2026-05-23,CPT,97.88,False
2026-05-23,INVH,99.41,False
2026-05-23,MAA,98.89,False
2026-05-23,UDR,94.25,False
2026-05-30,AMH,98.49,False
2026-05-30,CPT,97.5,False
2026-05-30,INVH,100.86,True
2026-05-30,MAA,98.77,False
2026-05-30,UDR,94.59,False
2026-06-06,AMH,98.39,False
2026-06-06,CPT,96.86,False
2026-06-06,INVH,102.31,False
2026-06-06,MAA,99.23,False
2026-06-06,UDR,94.67,False
2026-06-13,AMH,98.42,False
2026-06-13,CPT,96.35,False
2026-06-13,INVH,100.77,False
2026-06-13,MAA,98.37,False
2026-06-13,UDR,94.3,False
2026-06-20,AMH,98.336,True
2026-06-20,CPT,96.38,False
2026-06-20,INVH,101.358,True
2026-06-20,MAA,96.87,False
2026-06-20,UDR,93.55,False
2026-06-27,AMH,98.252,True
2026-06-27,CPT,96.35,True
2026-06-27,INVH,101.946,True
2026-06-27,MAA,96.735,True
2026-06-27,UDR,93.5675,True
2026-07-04,AMH,98.168,True
2026-07-04,CPT,96.32,True
2026-07-04,INVH,102.534,True
2026-07-04,MAA,96.6,True
2026-07-04,UDR,93.585,True
2026-07-11,AMH,98.084,True
2026-07-11,CPT,96.29,True
2026-07-11,INVH,103.122,True
2026-07-11,MAA,96.465,True
2026-07-11,UDR,93.6025,True
2026-07-18,AMH,98.0,False
2026-07-18,CPT,96.26,False
2026-07-18,INVH,103.71,False
2026-07-18,MAA,96.33,False
2026-07-18,UDR,93.62,False
2026-07-25,AMH,97.905,True
2026-07-25,CPT,96.335,True
2026-07-25,INVH,103.3567,True
2026-07-25,MAA,95.96,True
2026-07-25,UDR,92.835,True
2026-08-01,AMH,97.81,False
2026-08-01,CPT,96.41,False
2026-08-01,INVH,103.0033,True
2026-08-01,MAA,95.59,False
2026-08-01,UDR,92.05,False
2026-08-08,AMH,97.53,False
2026-08-08,CPT,95.23,False
2026-08-08,INVH,102.65,False
2026-08-08,MAA,94.71,False
2026-08-08,UDR,90.91,False
2026-08-15,AMH,97.34,False
2026-08-15,CPT,93.76,False
2026-08-15,INVH,102.09,False
2026-08-15,MAA,94.08,False
2026-08-15,UDR,89.11,False
2026-08-22,AMH,97.13,False
2026-08-22,CPT,93.42,False
2026-08-22,INVH,101.46,False
2026-08-22,MAA,93.02,False
2026-08-22,UDR,88.32,False
2026-08-29,AMH,96.73,False
2026-08-29,CPT,91.48,False
2026-08-29,INVH,100.09,False
2026-08-29,MAA,91.73,False
2026-08-29,UDR,88.41,False
2026-09-05,AMH,96.58,False
2026-09-05,CPT,91.5,False
2026-09-05,INVH,100.09,False
2026-09-05,MAA,91.26,False
2026-09-05,UDR,88.31,False
