date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,99.92,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,97.31,False
2026-04-11,AMH,99.62,False
2026-04-11,CPT,99.29,False
2026-04-11,INVH,99.49,False
2026-04-11,MAA,97.5,False
2026-04-11,UDR,95.63,False
2026-04-18,AMH,99.06,False
2026-04-18,CPT,98.88,False
2026-04-18,INVH,99.06,False
2026-04-18,MAA,97.65,False
2026-04-18,UDR,95.02,False
2026-04-25,AMH,98.95,False
2026-04-25,CPT,98.38,False
2026-04-25,INVH,99.79,False
2026-04-25,MAA,97.47,False
2026-04-25,UDR,94.42,False
2026-05-02,AMH,98.24,False
2026-05-02,CPT,98.26,False
2026-05-02,INVH,99.4,False
2026-05-02,MAA,97.16,False
2026-05-02,UDR,94.11,False
2026-05-09,AMH,98.06,False
2026-05-09,CPT,97.52,False
2026-05-09,INVH,100.06,False
2026-05-09,MAA,96.52,False
2026-05-09,UDR,93.28,False
2026-05-16,AMH,97.5,False
2026-05-16,CPT,96.6,False
2026-05-16,INVH,101.55,False
2026-05-16,MAA,96.66,False
2026-05-16,UDR,92.62,False
2026-05-23,AMH,96.69,False
2026-05-23,CPT,96.69,False
2026-05-23,INVH,100.39,False
2026-05-23,MAA,96.28,False
2026-05-23,UDR,92.37,False
2026-05-30,AMH,96.57,False
2026-05-30,CPT,97.26,False
2026-05-30,INVH,99.805,True
2026-05-30,MAA,96.63,False
2026-05-30,UDR,92.67,False
2026-06-06,AMH,96.4,False
2026-06-06,CPT,95.68,False
2026-06-06,INVH,99.22,False
2026-06-06,MAA,95.38,False
2026-06-06,UDR,92.68,False
2026-06-13,AMH,96.21,False
2026-06-13,CPT,95.43,False
2026-06-13,INVH,100.13,False
2026-06-13,MAA,94.94,False
2026-06-13,UDR,92.93,False
2026-06-20,AMH,95.75,True
2026-06-20,CPT,95.75,False
2026-06-20,INVH,99.79,True
2026-06-20,MAA,94.69,False
2026-06-20,UDR,92.29,False
2026-06-27,AMH,95.29,True
2026-06-27,CPT,95.9275,True
2026-06-27,INVH,99.45,True
2026-06-27,MAA,94.1575,True
2026-06-27,UDR,91.6875,True
2026-07-04,AMH,94.83,True
2026-07-04,CPT,96.105,True
2026-07-04,INVH,99.11,True
2026-07-04,MAA,93.625,True
2026-07-04,UDR,91.085,True
2026-07-11,AMH,94.37,True
2026-07-11,CPT,96.2825,True
2026-07-11,INVH,98.77,True
2026-07-11,MAA,93.0925,True
2026-07-11,UDR,90.4825,True
2026-07-18,AMH,93.91,False
2026-07-18,CPT,96.46,False
2026-07-18,INVH,98.43,False
2026-07-18,MAA,92.56,False
2026-07-18,UDR,89.88,False
2026-07-25,AMH,93.635,True
2026-07-25,CPT,96.57,True
2026-07-25,INVH,97.9833,True
2026-07-25,MAA,92.245,True
2026-07-25,UDR,89.2,True
2026-08-01,AMH,93.36,False
2026-08-01,CPT,96.68,False
2026-08-01,INVH,97.5367,True
2026-08-01,MAA,91.93,False
2026-08-01,UDR,88.52,False
2026-08-08,AMH,92.84,False
2026-08-08,CPT,95.96,False
2026-08-08,INVH,97.09,False
2026-08-08,MAA,91.32,False
2026-08-08,UDR,88.01,False
2026-08-15,AMH,92.36,False
2026-08-15,CPT,95.74,False
2026-08-15,INVH,96.42,False
2026-08-15,MAA,91.54,False
2026-08-15,UDR,86.4,False
2026-08-22,AMH,92.01,False
2026-08-22,CPT,95.95,False
2026-08-22,INVH,95.78,False
2026-08-22,MAA,91.26,False
2026-08-22,UDR,85.41,False
2026-08-29,AMH,91.4,False
2026-08-29,CPT,92.99,False
2026-08-29,INVH,94.24,False
2026-08-29,MAA,90.69,False
2026-08-29,UDR,84.29,False
2026-09-05,AMH,91.07,False
2026-09-05,CPT,93.05,False
2026-09-05,INVH,93.84,False
2026-09-05,MAA,90.24,False
2026-09-05,UDR,84.87,False
